date,score,recommendation,vix,rv,vp_ratio,rv_slope,vwap_slope,ts_label,range_pct,n_spreads_p1,risk_deployed_p1,pnl_p1_dollars,outcome_p1,add_tried,pnl_p2_dollars,outcome_p2,combined_pnl,budget_used_pct,score_vol,score_regime,score_ts
2025-06-12,80,GO,17.93,11.51,1.558,STABLE,FLAT,CONTANGO,0.288,33,32547.899999999998,29713.0,TIME_STOP,True,42622.0,ADD_TARGET,72335.0,32.5,30,20,4
2025-06-13,80,GO,20.88,13.28,1.572,STABLE,FLAT,CONTANGO,0.382,38,32626.8,57217.0,TARGET,True,-4669.0,ADD2_WING_STOP,52548.0,32.6,30,20,4
2025-06-16,59,SKIP,18.82,12.33,1.527,RISING,FLAT,CONTANGO,0.632,0,0,0,ENV_BLOCK,False,0,—,0,0,15,14,4
2025-06-17,88,GO,19.75,9.71,2.033,STABLE,FLAT,FLAT,0.207,36,32472.0,16384.0,TIME_STOP,True,58483.0,ADD2_TARGET,74867.0,32.5,30,20,12
2025-06-18,88,GO,20.33,8.7,2.336,FALLING,FLAT,FLAT,0.348,37,32530.399999999998,56188.0,TARGET,True,27172.0,ADD2_TARGET,83360.0,32.5,30,20,12
2025-06-20,80,GO,19.58,12.01,1.63,STABLE,FLAT,CONTANGO,0.373,36,32835.6,-3409.0,WING_STOP,False,0,—,-3409.0,32.8,30,20,4
2025-06-23,74,GO,20.15,9.54,2.112,FALLING,FLAT,CONTANGO,0.621,37,32878.2,-6630.0,WING_STOP,False,0,—,-6630.0,32.9,30,14,4
2025-06-24,80,GO,18.15,9.17,1.98,STABLE,FLAT,CONTANGO,0.292,34,32959.600000000006,-19098.0,TIME_STOP,True,47750.0,ADD2_TARGET,28652.0,33.0,30,20,4
2025-06-25,80,GO,17.16,7.95,2.158,STABLE,FLAT,CONTANGO,0.175,32,32476.799999999996,44986.0,TARGET,True,41115.0,ADD_TARGET,86101.0,32.5,30,20,4
2025-06-26,65,SKIP,16.49,9.48,1.739,RISING,FLAT,CONTANGO,0.215,0,0,0,ENV_BLOCK,False,0,—,0,0,15,20,4
2025-06-27,80,GO,16.26,7.89,2.06,STABLE,FLAT,CONTANGO,0.363,31,32763.9,38328.0,TIME_STOP,True,-11500.0,ADD_BLOCKED (FLAT/RISING),26828.0,32.8,30,20,4
2025-06-30,80,GO,17.28,8.38,2.061,STABLE,FLAT,CONTANGO,0.183,33,32828.4,46672.0,TARGET,False,0,—,46672.0,32.8,30,20,4
2025-07-01,80,GO,16.95,6.65,2.55,STABLE,FLAT,CONTANGO,0.245,32,32409.6,46029.0,TARGET,True,0,ADD_BLOCKED (FLAT/RISING),46029.0,32.4,30,20,4
2025-07-02,80,GO,17.1,9.23,1.852,FALLING,FLAT,CONTANGO,0.192,33,33148.5,11009.0,TIME_STOP,True,43044.0,ADD_TARGET,54053.0,33.1,30,20,4
2025-07-03,65,SKIP,16.37,7.48,2.188,RISING,FLAT,CONTANGO,0.347,0,0,0,ENV_BLOCK,False,0,—,0,0,15,20,4
2025-07-07,80,GO,17.6,9.09,1.937,FALLING,FLAT,CONTANGO,0.186,34,32915.399999999994,-8228.0,WING_STOP,False,0,—,-8228.0,32.9,30,20,4
2025-07-08,80,GO,16.91,8.36,2.022,STABLE,FLAT,CONTANGO,0.176,33,33303.6,46108.0,TARGET,False,0,—,46108.0,33.3,30,20,4
2025-07-09,59,SKIP,16.01,6.24,2.568,RISING,FLAT,CONTANGO,0.414,0,0,0,ENV_BLOCK,False,0,—,0,0,15,14,4
2025-07-10,65,SKIP,16.05,8.12,1.976,RISING,FLAT,CONTANGO,0.221,0,0,0,ENV_BLOCK,False,0,—,0,0,15,20,4
2025-07-11,80,GO,16.64,8.36,1.991,STABLE,FLAT,CONTANGO,0.303,32,32675.2,45798.0,TARGET,False,0,—,45798.0,32.7,30,20,4
2025-07-14,80,GO,17.31,11.22,1.543,STABLE,FLAT,CONTANGO,0.276,33,32485.2,37567.0,TIME_STOP,True,37232.0,ADD_TARGET,74799.0,32.5,30,20,4
2025-07-15,74,GO,16.94,9.92,1.707,STABLE,FLAT,CONTANGO,0.403,33,33000.0,14045.0,TIME_STOP,True,0,ADD_BLOCKED (FLAT/RISING),14045.0,33.0,30,14,4
2025-07-16,80,GO,17.23,11.02,1.564,FALLING,FLAT,CONTANGO,0.327,33,32686.499999999996,25130.0,TIME_STOP,True,0,ADD_BLOCKED (FLAT/RISING),25130.0,32.7,30,20,4
2025-07-17,80,GO,16.95,7.76,2.185,FALLING,FLAT,CONTANGO,0.338,33,32996.700000000004,25130.0,TIME_STOP,True,34024.0,ADD_TARGET,59154.0,33.0,30,20,4
2025-07-18,65,SKIP,16.3,8.02,2.033,RISING,FLAT,CONTANGO,0.149,0,0,0,ENV_BLOCK,False,0,—,0,0,15,20,4
2025-07-21,59,SKIP,16.67,6.42,2.595,RISING,FLAT,CONTANGO,0.405,0,0,0,ENV_BLOCK,False,0,—,0,0,15,14,4
2025-07-22,59,SKIP,17.43,12.79,1.363,RISING,FLAT,FLAT,0.492,0,0,0,ENV_BLOCK,False,0,—,0,0,7,14,12
2025-07-23,80,GO,16.15,9.6,1.682,STABLE,FLAT,CONTANGO,0.279,32,33276.799999999996,-9853.0,TIME_STOP,True,0,ADD_BLOCKED (FLAT/RISING),-9853.0,33.3,30,20,4
2025-07-24,69,GO,15.08,11.25,1.341,FALLING,FLAT,CONTANGO,0.221,30,32973.0,40827.0,TARGET,False,0,—,40827.0,33.0,27,20,4
2025-07-25,72,GO,15.22,6.47,2.352,FALLING,FLAT,CONTANGO,0.121,30,32670.0,27588.0,TIME_STOP,True,21900.0,ADD_TARGET,49488.0,32.7,30,20,4
2025-07-28,72,GO,15.43,5.69,2.712,STABLE,FLAT,CONTANGO,0.133,31,33259.899999999994,41447.0,TIME_STOP,False,0,—,41447.0,33.3,30,20,4
2025-07-29,72,GO,14.76,8.75,1.687,STABLE,FLAT,CONTANGO,0.258,29,32390.100000000002,2830.0,TIME_STOP,True,40304.0,ADD_BLOCKED (FLAT/RISING),43134.0,32.4,30,20,4
2025-07-30,72,GO,15.99,8.75,1.827,FALLING,FLAT,CONTANGO,0.152,32,33264.0,-14074.0,WING_STOP,False,0,—,-14074.0,33.3,30,20,4
2025-07-31,63,GO,15.16,11.19,1.354,FALLING,FLAT,CONTANGO,0.468,30,32607.000000000004,-11460.0,WING_STOP,False,0,—,-11460.0,32.6,27,14,4
2025-08-01,53,WAIT,21.28,18.06,1.179,STABLE,FLAT,FLAT,1.05,0,0,0,NO_TRADE,False,0,—,0,0,15,0,12
2025-08-04,74,GO,17.99,8.03,2.24,STABLE,FLAT,CONTANGO,0.631,35,32952.49999999999,50232.0,TARGET,False,0,—,50232.0,33.0,30,14,4
2025-08-05,65,SKIP,17.59,11.01,1.598,RISING,FLAT,CONTANGO,0.275,0,0,0,ENV_BLOCK,False,0,—,0,0,15,20,4
2025-08-06,50,WAIT,17.53,15.05,1.164,RISING,FLAT,CONTANGO,0.259,0,0,0,NO_TRADE,False,0,—,0,0,0,20,4
2025-08-07,77,GO,16.18,12.55,1.289,FALLING,FLAT,CONTANGO,0.257,32,32899.200000000004,-11386.0,WING_STOP,False,0,—,-11386.0,32.9,27,20,4
2025-08-08,72,GO,15.87,7.74,2.05,STABLE,FLAT,CONTANGO,0.362,31,32497.3,40979.0,TIME_STOP,True,29628.0,ADD_TARGET,70607.0,32.5,30,20,4
2025-08-11,72,GO,15.85,7.26,2.184,STABLE,FLAT,CONTANGO,0.162,31,32444.6,45582.0,TARGET,False,0,—,45582.0,32.4,30,20,4
2025-08-12,39,WAIT,15.6,19.57,0.797,STABLE,FLAT,CONTANGO,0.48,0,0,0,NO_TRADE,False,0,—,0,0,3,14,4
2025-08-13,49,WAIT,14.51,10.05,1.444,RISING,FLAT,CONTANGO,0.272,0,0,0,NO_TRADE,False,0,—,0,0,7,20,4
2025-08-14,64,GO,14.87,12.09,1.23,STABLE,FLAT,CONTANGO,0.313,30,32982.0,40923.0,TARGET,False,0,—,40923.0,33.0,22,20,4
2025-08-15,43,WAIT,14.98,10.64,1.408,RISING,FLAT,CONTANGO,0.463,0,0,0,NO_TRADE,False,0,—,0,0,7,14,4
2025-08-18,80,GO,15.57,8.8,1.77,STABLE,FLAT,FLAT,0.191,31,32742.2,42606.0,TARGET,False,0,—,42606.0,32.7,30,20,12
2025-08-19,69,GO,14.95,11.06,1.352,FALLING,FLAT,CONTANGO,0.227,30,32898.0,-8070.0,WING_STOP,False,0,—,-8070.0,32.9,27,20,4
2025-08-20,42,WAIT,16.58,13.94,1.19,RISING,FALLING,FLAT,0.687,0,0,0,NO_TRADE,False,0,—,0,0,0,4,12
2025-08-21,58,SKIP,16.77,19.13,0.877,RISING,FLAT,FLAT,0.361,0,0,0,VP_SKIP,False,0,—,0,0,0,20,12
2025-08-22,38,WAIT,16.29,37.98,0.429,RISING,FLAT,FLAT,0.872,0,0,0,NO_TRADE,False,0,—,0,0,0,0,12
2025-08-25,72,GO,14.71,8.55,1.721,STABLE,FLAT,CONTANGO,0.203,30,33306.0,40353.0,TARGET,False,0,—,40353.0,33.3,30,20,4
2025-08-26,49,WAIT,15.1,11.15,1.354,RISING,FLAT,CONTANGO,0.203,0,0,0,NO_TRADE,False,0,—,0,0,7,20,4
2025-08-27,72,GO,14.94,8.71,1.715,STABLE,FLAT,CONTANGO,0.174,30,32787.0,40956.0,TARGET,False,0,—,40956.0,32.8,30,20,4
2025-08-28,51,WAIT,14.56,14.35,1.015,STABLE,FLAT,CONTANGO,0.439,0,0,0,NO_TRADE,False,0,—,0,0,15,14,4
2025-08-29,72,GO,15.24,10.12,1.506,STABLE,FLAT,CONTANGO,0.384,31,33259.899999999994,43279.0,TARGET,True,0,ADD_BLOCKED (FLAT/RISING),43279.0,33.3,30,20,4
2025-09-02,42,WAIT,17.7,16.89,1.048,RISING,RISING,FLAT,0.663,0,0,0,NO_TRADE,False,0,—,0,0,0,4,12
2025-09-03,57,SKIP,17.26,12.28,1.405,RISING,FLAT,CONTANGO,0.237,0,0,0,ENV_BLOCK,False,0,—,0,0,7,20,4
2025-09-04,57,SKIP,16.09,10.81,1.488,RISING,FLAT,CONTANGO,0.166,0,0,0,ENV_BLOCK,False,0,—,0,0,7,20,4
2025-09-05,42,WAIT,15.06,16.33,0.922,RISING,FLAT,CONTANGO,0.292,0,0,0,NO_TRADE,False,0,—,0,0,0,20,4
