date,score,recommendation,vix,rv,vp_ratio,rv_slope,vwap_slope,ts_label,range_pct,n_spreads_p1,risk_deployed_p1,pnl_p1_dollars,outcome_p1,add_tried,pnl_p2_dollars,outcome_p2,combined_pnl,budget_used_pct,score_vol,score_regime,score_ts
2023-02-15,54,WAIT,18.59,19.9,0.934,STABLE,FLAT,CONTANGO,0.433,0,0,0,NO_TRADE,False,0,—,0,0,10,14,4
2023-02-16,64,GO,19.88,18.19,1.093,FALLING,FLAT,CONTANGO,0.575,26,33202.0,-10699.0,WING_STOP,False,0,—,-10699.0,33.2,20,14,4
2023-02-17,71,GO,20.93,15.98,1.31,FALLING,FLAT,CONTANGO,0.693,27,33231.6,24781.0,TIME_STOP,True,52618.0,ADD2_TIME_STOP,77399.0,33.2,27,14,4
2023-02-21,44,WAIT,22.64,19.21,1.179,RISING,FLAT,CONTANGO,0.589,0,0,0,NO_TRADE,False,0,—,0,0,0,14,4
2023-02-22,65,SKIP,22.88,12.17,1.881,RISING,FLAT,CONTANGO,0.266,0,0,0,ENV_BLOCK,False,0,—,0,0,15,20,4
2023-02-23,80,GO,21.18,12.7,1.667,STABLE,FLAT,CONTANGO,0.34,27,33099.3,-11667.0,WING_STOP,False,0,—,-11667.0,33.1,30,20,4
2023-02-24,71,GO,22.75,17.05,1.335,FALLING,FLAT,CONTANGO,0.628,28,32726.399999999998,23414.0,TIME_STOP,True,34999.0,ADD2_TIME_STOP,58413.0,32.7,27,14,4
2023-02-27,74,GO,20.86,12.22,1.707,FALLING,FLAT,CONTANGO,0.43,26,32416.8,-9079.0,TIME_STOP,True,0,ADD_BLOCKED (FLAT/RISING),-9079.0,32.4,30,14,4
2023-02-28,65,SKIP,20.77,13.36,1.555,RISING,FLAT,CONTANGO,0.376,0,0,0,ENV_BLOCK,False,0,—,0,0,15,20,4
2023-03-01,80,GO,20.49,14.56,1.407,STABLE,FLAT,FLAT,0.363,26,33264.4,33002.0,TARGET,True,52246.0,ADD2_TIME_STOP,85248.0,33.3,22,20,12
2023-03-02,85,GO,20.7,14.42,1.436,FALLING,FLAT,FLAT,0.303,26,33183.799999999996,-16773.0,WING_STOP,False,0,—,-16773.0,33.2,27,20,12
2023-03-03,67,SKIP,19.22,12.33,1.558,RISING,FLAT,FLAT,0.434,0,0,0,ENV_BLOCK,False,0,—,0,0,15,14,12
2023-03-06,81,SKIP,18.69,12.17,1.536,RISING,FLAT,INVERTED,0.264,0,0,0,ENV_BLOCK,False,0,—,0,0,15,20,20
