date,score,recommendation,vix,rv,vp_ratio,rv_slope,vwap_slope,ts_label,range_pct,entry_pricing,exit_pricing,n_spreads_p1,risk_deployed_p1,pnl_p1_dollars,outcome_p1,add_tried,pnl_p2_dollars,outcome_p2,combined_pnl,budget_used_pct,wing_width,score_vol,score_regime,score_ts,pnl_at_300,pnl_at_330,pnl_at_345,hit_40_pnl,hit_45_pnl,hit_50_pnl,hit_40_time,hit_45_time,hit_50_time,ws_pnl,ws_time
2023-11-06,80,SKIP,15.32,10.0,1.533,STABLE,FLAT,FLAT,0.265,—,—,0,0,0,VP_CAP,False,0,—,0,0,0,30,20,12,,,,,,,,,,,
2023-11-07,72,GO,14.82,11.03,1.344,STABLE,FLAT,FLAT,0.338,LIVE,LIVE,13,31356.0,-8411.0,TIME_STOP,True,0,ADD_BLOCKED (FLAT/FALLING),-8411.0,31.4,40,22,20,12,0.43,-3.17,-5.47,,,,,,,,
2023-11-08,80,SKIP,14.54,8.17,1.78,STABLE,FLAT,FLAT,0.156,—,—,0,0,0,VP_CAP,False,0,—,0,0,0,30,20,12,,,,,,,,,,,
2023-11-09,65,SKIP,14.49,7.87,1.84,RISING,FLAT,FLAT,0.301,—,—,0,0,0,VP_CAP,False,0,—,0,0,0,15,20,12,,,,,,,,,,,
2023-11-10,69,SKIP,14.84,9.96,1.49,FALLING,FLAT,CONTANGO,0.303,—,—,0,0,0,ENV_BLOCK,False,0,—,0,0,0,27,20,4,,,,,,,,,,,
2023-11-13,72,SKIP,15.01,8.87,1.692,STABLE,FLAT,CONTANGO,0.291,—,—,0,0,0,VP_CAP,False,0,—,0,0,0,30,20,4,,,,,,,,,,,
2023-11-14,42,WAIT,14.25,11.92,1.195,FALLING,FLAT,CONTANGO,0.705,—,—,0,0,0,NO_TRADE,False,0,—,0,0,0,20,0,4,,,,,,,,,,,
2023-11-15,57,GO,14.11,12.84,1.099,STABLE,FLAT,CONTANGO,0.279,LIVE,LIVE,14,31220.0,11130.0,TARGET,True,0,ADD_BLOCKED (FLAT/FALLING),11130.0,31.2,40,15,20,4,,,,7.09,8.14,8.95,2023-11-15 13:23:00-05:00,2023-11-15 14:14:00-05:00,2023-11-15 14:17:00-05:00,,
2023-11-16,72,SKIP,13.77,8.36,1.647,FALLING,FLAT,CONTANGO,0.349,—,—,0,0,0,VP_CAP,False,0,—,0,0,0,30,20,4,,,,,,,,,,,
2023-11-17,72,SKIP,13.98,7.69,1.818,STABLE,FLAT,CONTANGO,0.263,—,—,0,0,0,VP_CAP,False,0,—,0,0,0,30,20,4,,,,,,,,,,,
2023-11-20,66,SKIP,13.77,8.28,1.662,STABLE,FLAT,CONTANGO,0.404,—,—,0,0,0,VP_CAP,False,0,—,0,0,0,30,14,4,,,,,,,,,,,
2023-11-21,72,SKIP,13.54,7.04,1.922,STABLE,FLAT,CONTANGO,0.131,—,—,0,0,0,VP_CAP,False,0,—,0,0,0,30,20,4,,,,,,,,,,,
2023-11-22,36,WAIT,13.07,13.68,0.955,RISING,FLAT,CONTANGO,0.41,—,—,0,0,0,NO_TRADE,False,0,—,0,0,0,0,14,4,,,,,,,,,,,
2023-11-24,72,SKIP,13.06,7.73,1.69,FALLING,FLAT,CONTANGO,0.165,—,—,0,0,0,VP_CAP,False,0,—,0,0,0,30,20,4,,,,,,,,,,,
2023-11-27,69,SKIP,12.86,8.69,1.48,FALLING,FLAT,CONTANGO,0.267,—,—,0,0,0,ENV_BLOCK,False,0,—,0,0,0,27,20,4,,,,,,,,,,,
2023-11-28,72,SKIP,12.77,7.46,1.712,FALLING,FLAT,CONTANGO,0.149,—,—,0,0,0,VP_CAP,False,0,—,0,0,0,30,20,4,,,,,,,,,,,
2023-11-29,72,SKIP,12.66,8.22,1.541,FALLING,FLAT,CONTANGO,0.346,—,—,0,0,0,VP_CAP,False,0,—,0,0,0,30,20,4,,,,,,,,,,,
2023-11-30,65,GO,13.17,12.14,1.085,STABLE,FLAT,FLAT,0.329,LIVE,LIVE,13,31005.0,9516.0,TARGET,True,2405.0,DRIFT2_TIME_STOP,11921.0,31.0,40,15,20,12,,,,6.5,7.35,8.32,2023-11-30 14:24:00-05:00,2023-11-30 14:33:00-05:00,2023-11-30 14:40:00-05:00,,
2023-12-01,80,SKIP,12.81,6.93,1.848,FALLING,FLAT,FLAT,0.309,—,—,0,0,0,VP_CAP,False,0,—,0,0,0,30,20,12,,,,,,,,,,,
2023-12-04,85,SKIP,13.66,10.38,1.316,FALLING,FLAT,INVERTED,0.295,—,—,0,0,0,ENV_BLOCK,False,0,—,0,0,0,27,20,20,,,,,,,,,,,
2023-12-05,50,WAIT,13.76,15.66,0.879,RISING,FLAT,FLAT,0.331,—,—,0,0,0,NO_TRADE,False,0,—,0,0,0,0,20,12,,,,,,,,,,,
2023-12-06,88,SKIP,12.73,7.0,1.818,FALLING,FLAT,INVERTED,0.207,—,—,0,0,0,VP_CAP,False,0,—,0,0,0,30,20,20,,,,,,,,,,,
2023-12-07,65,SKIP,13.19,9.65,1.367,RISING,FLAT,INVERTED,0.217,—,—,0,0,0,ENV_BLOCK,False,0,—,0,0,0,7,20,20,,,,,,,,,,,
2023-12-08,44,WAIT,13.24,15.57,0.851,RISING,FLAT,FLAT,0.443,—,—,0,0,0,NO_TRADE,False,0,—,0,0,0,0,14,12,,,,,,,,,,,
2023-12-11,65,GO,13.0,11.57,1.124,STABLE,FLAT,FLAT,0.311,LIVE,LIVE,12,31656.0,-876.0,TIME_STOP,True,0,TIMEADD_BLOCKED (FLAT/FALLING),-876.0,31.7,40,15,20,12,0.74,1.1,0.27,,,,,,,,
2023-12-12,80,SKIP,12.39,7.79,1.591,STABLE,FLAT,FLAT,0.224,—,—,0,0,0,VP_CAP,False,0,—,0,0,0,30,20,12,,,,,,,,,,,
2023-12-13,80,SKIP,12.28,7.8,1.575,FALLING,FLAT,FLAT,0.14,—,—,0,0,0,VP_CAP,False,0,—,0,0,0,30,20,12,,,,,,,,,,,
2023-12-14,60,SKIP,12.19,13.36,0.912,STABLE,FLAT,FLAT,0.371,—,—,0,0,0,VP_SKIP,False,0,—,0,0,0,10,20,12,,,,,,,,,,,
2023-12-15,42,WAIT,12.25,10.89,1.125,RISING,FLAT,CONTANGO,0.221,—,—,0,0,0,NO_TRADE,False,0,—,0,0,0,0,20,4,,,,,,,,,,,
2023-12-18,80,SKIP,12.53,5.28,2.372,STABLE,FLAT,FLAT,0.227,—,—,0,0,0,VP_CAP,False,0,—,0,0,0,30,20,12,,,,,,,,,,,
2023-12-19,57,SKIP,12.52,7.88,1.588,RISING,FLAT,CONTANGO,0.262,—,—,0,0,0,VP_CAP,False,0,—,0,0,0,15,20,4,,,,,,,,,,,
2023-12-20,72,SKIP,12.32,4.96,2.482,STABLE,FLAT,CONTANGO,0.254,—,—,0,0,0,VP_CAP,False,0,—,0,0,0,30,20,4,,,,,,,,,,,
2023-12-21,77,SKIP,13.66,11.28,1.211,FALLING,FLAT,FLAT,0.354,—,—,0,0,0,ENV_BLOCK,False,0,—,0,0,0,27,20,12,,,,,,,,,,,
2023-12-22,66,SKIP,13.81,6.62,2.086,FALLING,FLAT,CONTANGO,0.4,—,—,0,0,0,VP_CAP,False,0,—,0,0,0,30,14,4,,,,,,,,,,,
2023-12-26,80,SKIP,13.66,5.28,2.587,STABLE,FLAT,FLAT,0.194,—,—,0,0,0,VP_CAP,False,0,—,0,0,0,30,20,12,,,,,,,,,,,
