date,opt_a_daily,opt_b_daily,opt_c_daily,opt_a_cumulative,opt_b_cumulative,opt_c_cumulative
2023-11-06,484097.0,24272.0,30957.0,484097.0,24272.0,30957.0
2023-11-07,106224.0,7344.0,598.0,590321.0,31616.0,31555.0
2023-11-08,862791.0,50792.0,45433.0,1453112.0,82408.0,76988.0
2023-11-09,-550610.0,-54888.0,-54877.0,902502.0,27520.0,22111.0
2023-11-10,-1040000.0,-53824.0,-47699.0,-137498.0,-26304.0,-25588.0
2023-11-13,372372.0,20256.0,16828.0,234874.0,-6048.0,-8760.0
2023-11-14,1039499.0,37854.0,26834.0,1274373.0,31806.0,18074.0
2023-11-15,1627922.0,24856.0,29645.0,2902295.0,56662.0,47719.0
2023-11-16,665624.0,28688.0,38226.0,3567919.0,85350.0,85945.0
2023-11-17,385946.0,14112.0,23480.0,3953865.0,99462.0,109425.0
2023-11-20,-266630.0,-27986.0,-31989.0,3687235.0,71476.0,77436.0
2023-11-21,396870.0,12684.0,20115.0,4084105.0,84160.0,97551.0
2023-11-22,691894.0,10432.0,15939.0,4775999.0,94592.0,113490.0
2023-11-24,129172.0,6870.0,8340.0,4905171.0,101462.0,121830.0
2023-11-27,468043.0,14693.0,19820.0,5373214.0,116155.0,141650.0
2023-11-28,8216.0,2145.0,4290.0,5381430.0,118300.0,145940.0
2023-11-29,-196172.0,-41780.0,-66993.0,5185258.0,76520.0,78947.0
2023-11-30,1597489.0,28864.0,28768.0,6782747.0,105384.0,107715.0
2023-12-01,-45465.0,-21217.0,-24248.0,6737282.0,84167.0,83467.0
2023-12-04,329238.0,16744.0,21707.0,7066520.0,100911.0,105174.0
2023-12-05,506075.0,23283.0,17474.0,7572595.0,124194.0,122648.0
2023-12-06,-212078.0,-62268.0,-72646.0,7360517.0,61926.0,50002.0
2023-12-07,-22353.0,-3999.0,-9331.0,7338164.0,57927.0,40671.0
2023-12-08,-521243.0,-21824.0,-19951.0,6816921.0,36103.0,20720.0
2023-12-11,-858765.0,-24605.0,-16598.0,5958156.0,11498.0,4122.0
2023-12-12,-913608.0,-47312.0,-44904.0,5044548.0,-35814.0,-40782.0
2023-12-13,-1132206.0,-94556.0,-88398.0,3912342.0,-130370.0,-129180.0
2023-12-14,1822944.0,36828.0,27640.0,5735286.0,-93542.0,-101540.0
2023-12-15,1348254.0,30150.0,32860.0,7083540.0,-63392.0,-68680.0
2023-12-18,222028.0,19964.0,18894.0,7305568.0,-43428.0,-49786.0
2023-12-19,-251888.0,-17094.0,-1151.0,7053680.0,-60522.0,-50937.0
2023-12-20,-1351608.0,-73920.0,-43120.0,5702072.0,-134442.0,-94057.0
2023-12-21,515065.0,41553.0,29408.0,6217137.0,-92889.0,-64649.0
2023-12-22,-11645.0,-3882.0,-5176.0,6205492.0,-96771.0,-69825.0
2023-12-26,7905.0,477.0,0.0,6213397.0,-96294.0,-69825.0
2023-12-27,73548.0,13950.0,32550.0,6286945.0,-82344.0,-37275.0
2023-12-28,143250.0,13937.0,19515.0,6430195.0,-68407.0,-17760.0
2023-12-29,133880.0,25472.0,17540.0,6564075.0,-42935.0,-220.0
2024-01-02,804169.0,16344.0,19141.0,7368244.0,-26591.0,18921.0
2024-01-03,27025.0,20874.0,26640.0,7395269.0,-5717.0,45561.0
2024-01-04,56730.0,25648.0,10443.0,7451999.0,19931.0,56004.0
2024-01-05,741080.0,36945.0,43645.0,8193079.0,56876.0,99649.0
2024-01-08,-394966.0,-48825.0,-68355.0,7798113.0,8051.0,31294.0
2024-01-09,6400.0,1600.0,6400.0,7804513.0,9651.0,37694.0
2024-01-10,-169818.0,-18672.0,-19488.0,7634695.0,-9021.0,18206.0
2024-01-11,3309430.0,63210.0,61466.0,10944125.0,54189.0,79672.0
2024-01-12,1122797.0,32139.0,30990.0,12066922.0,86328.0,110662.0
2024-01-16,840861.0,25232.0,24960.0,12907783.0,111560.0,135622.0
2024-01-17,349191.0,25425.0,31061.0,13256974.0,136985.0,166683.0
