date,conf_07_daily,conf_07_cum,flat_07_daily,flat_07_cum,conf_08_daily,conf_08_cum,flat_08_daily,flat_08_cum,conf_09_daily,conf_09_cum,flat_09_daily,flat_09_cum
2023-11-06,76355.0,76355.0,76355.0,76355.0,6200.0,6200.0,6200.0,6200.0,0.0,0.0,0.0,0.0
2023-11-07,15996.0,92351.0,15996.0,92351.0,9336.0,15536.0,9336.0,15536.0,918.0,918.0,918.0,918.0
2023-11-08,123658.0,216009.0,123658.0,216009.0,29197.0,44733.0,29197.0,44733.0,0.0,918.0,0.0,918.0
2023-11-09,-80443.0,135566.0,-80443.0,135566.0,-120171.0,-75438.0,-120171.0,-75438.0,-104682.0,-103764.0,-104682.0,-103764.0
2023-11-10,-135163.0,403.0,-135163.0,403.0,-6728.0,-82166.0,-6728.0,-82166.0,0.0,-103764.0,0.0,-103764.0
2023-11-13,43580.0,43983.0,43580.0,43983.0,0.0,-82166.0,0.0,-82166.0,0.0,-103764.0,0.0,-103764.0
2023-11-14,0.0,43983.0,0.0,43983.0,0.0,-82166.0,0.0,-82166.0,0.0,-103764.0,0.0,-103764.0
2023-11-15,0.0,43983.0,0.0,43983.0,0.0,-82166.0,0.0,-82166.0,0.0,-103764.0,0.0,-103764.0
2023-11-16,167115.0,211098.0,167115.0,211098.0,115273.0,33107.0,115273.0,33107.0,79452.0,-24312.0,79452.0,-24312.0
2023-11-17,65725.0,276823.0,65725.0,276823.0,64898.0,98005.0,64898.0,98005.0,48152.0,23840.0,48152.0,23840.0
2023-11-20,-61022.0,215801.0,-61022.0,215801.0,-90595.0,7410.0,-90595.0,7410.0,-50103.0,-26263.0,-50103.0,-26263.0
2023-11-21,48704.0,264505.0,48704.0,264505.0,49550.0,56960.0,49550.0,56960.0,0.0,-26263.0,0.0,-26263.0
2023-11-22,13420.0,277925.0,13420.0,277925.0,0.0,56960.0,0.0,56960.0,0.0,-26263.0,0.0,-26263.0
2023-11-24,31339.0,309264.0,31339.0,309264.0,20511.0,77471.0,20511.0,77471.0,12595.0,-13668.0,12595.0,-13668.0
2023-11-27,97083.0,406347.0,97083.0,406347.0,67988.0,145459.0,67988.0,145459.0,8923.0,-4745.0,8923.0,-4745.0
2023-11-28,2483.0,408830.0,2483.0,408830.0,3562.0,149021.0,3562.0,149021.0,5889.0,1144.0,5889.0,1144.0
2023-11-29,-108601.0,300229.0,-108601.0,300229.0,-154539.0,-5518.0,-154539.0,-5518.0,-152420.0,-151276.0,-152420.0,-151276.0
2023-11-30,0.0,300229.0,0.0,300229.0,0.0,-5518.0,0.0,-5518.0,0.0,-151276.0,0.0,-151276.0
2023-12-01,-15155.0,285074.0,-24248.0,275981.0,-21217.0,-26735.0,-21217.0,-26735.0,-30310.0,-181586.0,-30310.0,-181586.0
2023-12-04,82212.0,367286.0,82212.0,358193.0,36894.0,10159.0,36894.0,10159.0,0.0,-181586.0,0.0,-181586.0
2023-12-05,29662.0,396948.0,29662.0,387855.0,2587.0,12746.0,2587.0,12746.0,0.0,-181586.0,0.0,-181586.0
2023-12-06,-74480.0,322468.0,-74480.0,313375.0,-100179.0,-87433.0,-100179.0,-87433.0,-143950.0,-325536.0,-143950.0,-325536.0
2023-12-07,-9023.0,313445.0,-9023.0,304352.0,-11689.0,-99122.0,-11689.0,-99122.0,-14355.0,-339891.0,-14355.0,-339891.0
2023-12-08,-31438.0,282007.0,-31438.0,272914.0,-5456.0,-104578.0,-5456.0,-104578.0,0.0,-339891.0,0.0,-339891.0
2023-12-11,0.0,282007.0,0.0,272914.0,0.0,-104578.0,0.0,-104578.0,0.0,-339891.0,0.0,-339891.0
2023-12-12,-102312.0,179695.0,-102312.0,170602.0,0.0,-104578.0,0.0,-104578.0,0.0,-339891.0,0.0,-339891.0
